rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
129,QB29,Cameron Ward,QB,TEN,188.7,143.1,236.6,-21.4,,,,,dk+hist,3299.5,20.64,10.4,0.0,0.0,0.0,0.0,0.0,2.5
130,WR52,Jakobi Meyers,WR,JAX,142.1,112.6,173.0,-21.6,113.2,-16.8,182.0,QUESTIONABLE,dk+hist,0.0,0.0,0.0,17.13,0.0,58.45,670.84,2.78,0.91
131,TE18,Dallas Goedert,TE,PHI,141.6,110.1,174.1,-21.9,98.5,-32.5,177.1,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,55.78,574.5,4.73,0.0
132,TE19,Sam LaPorta,TE,DET,141.6,112.0,172.4,-21.9,70.5,-61.5,188.6,QUESTIONABLE,dk+hist,0.0,0.0,0.0,0.0,0.0,50.76,624.5,4.73,0.0
133,TE20,Dalton Schultz,TE,HOU,139.2,109.2,170.5,-24.3,168.0,35.0,133.3,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,58.0,572.0,4.0,0.0
134,TE21,Oronde Gadsden,TE,LAC,138.9,109.0,171.1,-24.6,170.1,36.1,77.3,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,56.0,618.0,4.0,1.44
135,WR53,Tre Tucker,WR,LV,137.7,107.5,168.8,-26.0,168.2,33.2,138.0,ACTIVE,dk+hist,0.0,0.0,0.0,47.61,0.42,47.5,574.5,4.24,0.0
136,WR54,Jalen Coker,WR,CAR,135.7,105.3,167.1,-28.0,160.0,24.0,147.2,ACTIVE,dk+hist,7.92,0.0,0.0,0.0,0.0,49.22,627.89,4.21,0.96
137,RB33,Chris Rodriguez,RB,JAX,132.5,100.1,165.8,-31.0,166.2,29.2,71.4,ACTIVE,vegas,0.0,0.0,0.0,728.0,6.0,15.0,107.0,0.0,1.0
138,WR55,Jalen Nailor,WR,LV,130.6,101.9,159.7,-33.1,170.5,32.5,124.2,ACTIVE,vegas,0.0,0.0,0.0,19.0,0.0,46.0,587.0,4.0,0.0
139,TE22,Gunnar Helm,TE,TEN,130.3,102.2,159.0,-33.2,170.5,31.5,127.0,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,57.0,553.0,3.0,0.0
140,WR56,Malik Washington,WR,MIA,129.6,101.6,158.6,-34.1,170.3,30.3,115.9,ACTIVE,vegas,0.0,0.0,0.0,121.0,1.0,48.0,472.0,3.0,0.85
141,RB34,Rachaad White,RB,WAS,128.1,102.1,155.7,-35.4,136.4,-4.6,164.7,QUESTIONABLE,vegas,0.0,0.0,0.0,468.0,3.0,34.0,253.0,1.0,1.0
142,TE23,Pat Freiermuth,TE,PIT,127.5,99.5,157.4,-36.0,169.0,27.0,136.4,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,51.0,534.0,4.0,0.44
143,WR57,Jalen McMillan,WR,TB,127.4,99.1,157.2,-36.3,168.6,25.6,132.9,QUESTIONABLE,vegas,0.0,0.0,0.0,33.0,0.0,44.0,561.0,4.0,0.0
144,RB35,Aaron Jones,RB,MIN,127.1,100.6,154.7,-36.4,133.1,-10.9,177.0,ACTIVE,dk+hist,0.0,0.0,0.0,477.08,2.18,35.64,264.35,1.4,2.1
145,RB36,Kyle Monangai,RB,CHI,126.3,97.7,155.9,-37.2,128.4,-16.6,176.2,QUESTIONABLE,dk+hist,0.0,0.0,0.0,649.5,4.62,17.53,160.97,0.0,0.0
146,WR58,Ricky Pearsall,WR,SF,126.0,100.3,153.7,-37.7,169.9,23.9,0.0,INJURY_RESERVE,dk+hist,0.0,0.0,0.0,15.74,0.0,47.77,674.5,1.54,0.0
147,WR59,Amari Cooper,WR,BUF,125.5,96.6,155.3,-38.2,170.0,23.0,,,hist,0.0,0.0,0.0,0.0,0.0,44.03,549.3,4.42,0.0
148,TE24,Juwan Johnson,TE,NO,124.1,96.7,152.6,-39.4,163.3,15.3,143.5,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,52.44,599.5,2.54,1.75
149,RB37,J.K. Dobbins,RB,DEN,124.0,94.5,155.8,-39.5,117.1,-31.9,175.0,ACTIVE,dk+hist,0.0,0.0,0.0,674.5,5.32,17.2,74.19,0.0,0.0
150,WR60,Rashid Shaheed,WR,SEA,123.4,96.6,151.8,-40.3,155.0,5.0,144.5,ACTIVE,dk+hist,0.0,0.0,0.0,54.62,0.0,41.18,574.5,3.43,0.63
151,TE25,Darren Waller,TE,CAR,123.0,94.4,152.0,-40.5,170.2,19.2,114.6,ACTIVE,vegas,0.0,0.0,0.0,3.97,0.0,47.0,516.0,4.0,0.0
152,WR61,Matthew Golden,WR,GB,122.9,98.7,149.0,-40.8,103.0,-49.0,185.0,ACTIVE,dk+hist,0.0,0.0,0.0,51.32,0.0,52.85,649.5,0.0,0.0
153,TE26,Cade Otton,TE,TB,121.3,95.3,149.1,-42.2,170.5,17.5,102.1,QUESTIONABLE,vegas,0.0,0.0,0.0,0.28,0.0,53.0,513.0,3.0,0.5
