rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
311,QB48,Tyrod Taylor,QB,GB,44.5,23.6,66.7,-231.9,170.0,-141.0,9.2,ACTIVE,hist,481.13,4.95,2.62,84.12,0.61,0.0,0.0,0.0,0.69
312,QB49,Davis Mills,QB,HOU,44.1,25.7,63.4,-232.3,170.0,-142.0,8.4,ACTIVE,hist,627.01,2.97,0.58,40.73,0.71,0.0,0.0,0.0,0.0
313,DST1,Texans D/ST,DST,HOU,131.1,104.9,157.3,30.8,86.2,-226.8,131.1,,espn,,,,,,,,,
314,DST2,Broncos D/ST,DST,DEN,130.7,104.6,156.8,30.4,95.6,-218.4,130.7,,espn,,,,,,,,,
315,K1,Brandon Aubrey,K,DAL,171.7,137.3,206.0,27.3,85.1,-229.9,171.7,ACTIVE,espn,,,,,,,,,
316,DST3,Steelers D/ST,DST,PIT,125.9,100.8,151.1,25.6,115.5,-200.5,125.9,,espn,,,,,,,,,
317,DST4,Rams D/ST,DST,LAR,121.9,97.5,146.3,21.6,102.2,-214.8,121.9,,espn,,,,,,,,,
318,DST5,Seahawks D/ST,DST,SEA,120.8,96.7,145.0,20.5,107.8,-210.2,120.8,,espn,,,,,,,,,
319,DST6,Ravens D/ST,DST,BAL,118.6,94.9,142.3,18.3,132.0,-187.0,118.6,,espn,,,,,,,,,
320,K2,Cameron Dicker,K,LAC,161.9,129.5,194.3,17.5,105.4,-214.6,161.9,ACTIVE,espn,,,,,,,,,
321,K3,Harrison Mevis,K,LAR,159.5,127.6,191.4,15.1,130.6,-190.4,159.5,ACTIVE,espn,,,,,,,,,
322,K4,Jason Myers,K,SEA,158.5,126.8,190.2,14.1,116.4,-205.6,158.5,ACTIVE,espn,,,,,,,,,
323,K5,Ka'imi Fairbairn,K,HOU,157.9,126.3,189.4,13.5,133.2,-189.8,157.9,ACTIVE,espn,,,,,,,,,
324,K6,Eddy Pineiro,K,SF,155.3,124.3,186.4,10.9,148.8,-175.2,155.3,ACTIVE,espn,,,,,,,,,
325,DST7,Lions D/ST,DST,DET,107.8,86.3,129.4,7.5,151.8,-173.2,107.8,,espn,,,,,,,,,
326,DST8,Eagles D/ST,DST,PHI,106.8,85.5,128.2,6.5,135.0,-191.0,106.8,,espn,,,,,,,,,
327,K7,Harrison Butker,K,KC,148.8,119.0,178.5,4.4,147.7,-179.3,148.8,ACTIVE,espn,,,,,,,,,
328,DST9,Browns D/ST,DST,CLE,104.3,83.4,125.1,4.0,153.7,-174.3,104.3,,espn,,,,,,,,,
329,K8,Cam Little,K,JAX,146.9,117.5,176.2,2.5,137.8,-191.2,146.9,ACTIVE,espn,,,,,,,,,
330,K9,Tyler Loop,K,BAL,146.0,116.8,175.2,1.6,163.8,-166.2,146.0,ACTIVE,espn,,,,,,,,,
331,K10,Jake Bates,K,DET,145.8,116.7,175.0,1.4,155.3,-175.7,145.8,ACTIVE,espn,,,,,,,,,
332,DST10,Chiefs D/ST,DST,KC,100.4,80.3,120.4,0.1,163.2,-168.8,100.4,,espn,,,,,,,,,
333,K11,Cairo Santos,K,CHI,144.4,115.5,173.3,0.0,167.5,-165.5,144.4,ACTIVE,espn,,,,,,,,,
334,DST11,Patriots D/ST,DST,NE,100.3,80.2,120.3,0.0,149.5,-184.5,100.3,,espn,,,,,,,,,
335,K12,Trey Smack,K,GB,144.0,115.2,172.8,-0.4,168.7,-166.3,144.0,ACTIVE,espn,,,,,,,,,
336,K13,Chris Boswell,K,PIT,142.9,114.3,171.4,-1.5,162.7,-173.3,142.9,ACTIVE,espn,,,,,,,,,
337,K14,Will Reichard,K,MIN,142.2,113.8,170.7,-2.2,166.3,-170.7,142.2,ACTIVE,espn,,,,,,,,,
338,K15,Chase McLaughlin,K,TB,142.2,113.8,170.6,-2.2,169.4,-168.6,142.2,ACTIVE,espn,,,,,,,,,
339,K16,Evan McPherson,K,CIN,142.1,113.7,170.6,-2.3,168.9,-170.1,142.1,ACTIVE,espn,,,,,,,,,
340,K17,Nick Folk,K,ATL,141.3,113.0,169.5,-3.1,170.2,-169.8,141.3,ACTIVE,espn,,,,,,,,,
341,K18,Charlie Smyth,K,NO,137.9,110.3,165.5,-6.5,170.1,-170.9,137.9,ACTIVE,espn,,,,,,,,,
342,DST12,Chargers D/ST,DST,LAC,93.4,74.7,112.1,-6.9,163.4,-178.6,93.4,,espn,,,,,,,,,
343,K19,Dominic Zvada,K,NYG,137.2,109.8,164.6,-7.2,169.8,-173.2,137.2,ACTIVE,espn,,,,,,,,,
344,DST13,Buccaneers D/ST,DST,TB,92.8,74.2,111.4,-7.5,169.7,-174.3,92.8,,espn,,,,,,,,,
345,K20,Tyler Bass,K,BUF,136.8,109.4,164.1,-7.6,169.6,-175.4,136.8,ACTIVE,espn,,,,,,,,,
346,K21,Wil Lutz,K,DEN,135.9,108.7,163.0,-8.5,169.7,-176.3,135.9,ACTIVE,espn,,,,,,,,,
347,K22,Jake Elliott,K,PHI,135.8,108.6,162.9,-8.6,168.7,-178.3,135.8,ACTIVE,espn,,,,,,,,,
348,DST14,Saints D/ST,DST,NO,90.6,72.5,108.7,-9.7,170.1,-177.9,90.6,,espn,,,,,,,,,
349,DST15,Packers D/ST,DST,GB,90.3,72.3,108.4,-10.0,168.3,-180.7,90.3,,espn,,,,,,,,,
350,K23,Drew Stevens,K,WAS,133.8,107.0,160.5,-10.6,169.9,-180.1,133.8,ACTIVE,espn,,,,,,,,,
351,DST16,Bears D/ST,DST,CHI,89.0,71.2,106.8,-11.3,169.1,-181.9,89.0,,espn,,,,,,,,,
352,K24,Blake Grupe,K,IND,132.8,106.2,159.4,-11.6,170.1,-181.9,132.8,ACTIVE,espn,,,,,,,,,
353,K25,Andy Borregales,K,NE,129.1,103.3,154.9,-15.3,170.1,-182.9,129.1,ACTIVE,espn,,,,,,,,,
354,DST17,Jets D/ST,DST,NYJ,84.5,67.6,101.3,-15.8,170.0,-184.0,84.5,,espn,,,,,,,,,
355,K26,Jason Sanders,K,NYJ,128.4,102.7,154.1,-16.0,169.8,-185.2,128.4,ACTIVE,espn,,,,,,,,,
356,K27,Riley Patterson,K,MIA,127.4,101.9,152.9,-17.0,169.9,-186.1,127.4,ACTIVE,espn,,,,,,,,,
357,DST18,49ers D/ST,DST,SF,82.9,66.3,99.5,-17.4,168.7,-188.3,82.9,,espn,,,,,,,,,
358,DST19,Jaguars D/ST,DST,JAX,81.4,65.1,97.7,-18.9,167.5,-190.5,81.4,,espn,,,,,,,,,
359,K28,Matt Gay,K,LV,125.1,100.1,150.1,-19.3,169.4,-189.6,125.1,ACTIVE,espn,,,,,,,,,
360,K29,Ryan Fitzgerald,K,CAR,124.1,99.3,148.9,-20.3,169.8,-190.2,124.1,ACTIVE,espn,,,,,,,,,
361,K30,Joey Slye,K,TEN,123.4,98.7,148.0,-21.0,169.8,-191.2,123.4,ACTIVE,espn,,,,,,,,,
362,DST20,Cowboys D/ST,DST,DAL,78.7,63.0,94.4,-21.6,166.3,-195.7,78.7,,espn,,,,,,,,,
